,opening time,closing time,drift rate,result,trade duration (min)
665,2021-11-04 11:20:00,2021-11-04 11:35:00,52.20153254455275,profit,15.0
735,2021-12-08 07:35:00,2021-12-08 09:35:00,130.0,profit,120.0
736,2021-12-09 06:25:00,2021-12-09 06:40:00,52.20153254455275,profit,15.0
53,2021-01-20 02:05:00,2021-01-20 02:20:00,52.20153254455275,profit,15.0
663,2021-11-02 15:20:00,2021-11-02 15:40:00,53.85164807134504,profit,20.0
54,2021-01-20 15:50:00,2021-01-20 15:55:00,50.24937810560445,profit,5.0
661,2021-11-01 23:20:00,2021-11-02 00:10:00,70.71067811865476,profit,50.0
738,2021-12-09 14:25:00,2021-12-09 14:35:00,50.99019513592785,profit,10.0
56,2021-01-21 14:10:00,2021-01-21 14:15:00,50.24937810560445,profit,5.0
645,2021-10-24 22:55:00,2021-10-25 00:10:00,90.13878188659973,profit,75.0
658,2021-10-31 06:10:00,2021-10-31 08:20:00,139.2838827718412,profit,130.0
656,2021-10-30 14:20:00,2021-10-30 14:25:00,50.24937810560445,profit,5.0
654,2021-10-29 02:45:00,2021-10-29 03:30:00,67.26812023536856,profit,45.0
653,2021-10-28 13:15:00,2021-10-28 13:30:00,52.20153254455275,profit,15.0
740,2021-12-09 20:05:00,2021-12-09 20:15:00,50.99019513592785,profit,10.0
741,2021-12-10 06:35:00,2021-12-10 07:00:00,55.90169943749474,profit,25.0
650,2021-10-27 05:25:00,2021-10-27 05:40:00,52.20153254455275,profit,15.0
61,2021-01-23 04:15:00,2021-01-23 04:20:00,50.24937810560445,profit,5.0
62,2021-01-23 11:55:00,2021-01-23 12:00:00,50.24937810560445,profit,5.0
63,2021-01-24 01:55:00,2021-01-24 02:05:00,50.99019513592785,profit,10.0
739,2021-12-09 17:20:00,2021-12-09 17:45:00,55.90169943749474,profit,25.0
251,2021-04-20 18:25:00,2021-04-20 18:55:00,58.309518948453004,profit,30.0
517,2021-08-17 17:05:00,2021-08-17 17:20:00,52.20153254455275,profit,15.0
550,2021-09-01 21:15:00,2021-09-01 22:05:00,70.71067811865476,profit,50.0
356,2021-06-04 05:35:00,2021-06-04 05:40:00,50.24937810560445,profit,5.0
355,2021-06-03 04:35:00,2021-06-03 05:05:00,58.309518948453004,profit,30.0
354,2021-06-02 14:30:00,2021-06-02 14:40:00,50.99019513592785,profit,10.0
196,2021-03-21 09:15:00,2021-03-21 09:35:00,53.85164807134504,profit,20.0
352,2021-06-01 15:35:00,2021-06-01 15:40:00,50.24937810560445,profit,5.0
350,2021-06-01 00:25:00,2021-06-01 00:40:00,52.20153254455275,profit,15.0
349,2021-05-31 14:55:00,2021-05-31 15:05:00,50.99019513592785,profit,10.0
347,2021-05-30 11:20:00,2021-05-30 11:40:00,53.85164807134504,profit,20.0
200,2021-03-23 04:25:00,2021-03-23 04:35:00,50.99019513592785,profit,10.0
201,2021-03-24 04:45:00,2021-03-24 05:00:00,52.20153254455275,profit,15.0
343,2021-05-28 21:25:00,2021-05-28 21:30:00,50.24937810560445,profit,5.0
